"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
E 1411.570038868 114.0 0.0 61.221516179359256 579.6133333333333 100
H 1411.573716388 5.0 0.0 20.370669592857464 0 0
E 1411.619153850 117.0 0.0 61.081158494581075 559.6266666666667 100
H 1411.622832798 5.0 0.0 0.0 0 0
E 1411.677843642 120.0 0.0 51.11621455397603 529.6466666666668 100
H 1411.681859192 5.0 0.0 0.0 0 0
E 1411.726845938 121.0 0.0 20.4072070418796 499.6666666666667 100
H 1411.730613576 5.0 0.0 0.0 0 0
E 1411.775848052 121.0 0.0 0.0 469.6866666666667 100
H 1411.779615256 5.0 0.0 0.0 0 0
E 1411.824963258 121.0 0.0 0.0 429.71333333333337 100
H 1411.828730896 6.0 0.0 20.360113397653656 99.93333333333334 99.93333333333334
E 1411.883652980 121.0 0.0 0.0 399.73333333333335 100
H 1411.887419848 12.0 0.0 102.23389233460568 100 100
E 1411.932655192 121.0 0.0 0.0 359.76000000000005 100
H 1411.936627216 17.0 0.0 101.6107994233759 100 100
E 1412.001657474 121.0 0.0 0.0 339.77333333333337 100
H 1412.005158594 22.0 0.0 72.95928005417927 100 100
E 1412.050772666 121.0 0.0 0.0 299.8 100
H 1412.054362070 28.0 0.0 121.942604217631 100 100
E 1412.109462570 121.0 0.0 0.0 259.8266666666667 100
H 1412.113346898 35.0 0.0 118.67458526814166 100 100
E 1412.158464768 121.0 0.0 0.0 249.83333333333334 100
H 1412.162144738 43.0 0.0 163.94168266419277 100 100
E 1412.207467148 121.0 0.0 0.0 219.85333333333335 100
H 1412.211144822 51.0 0.0 163.2650262395491 100 100
E 1412.256582102 121.0 0.0 0.0 199.86666666666667 100
H 1412.260261904 59.0 0.0 162.87612525569537 100 100
E 1412.315272076 121.0 0.0 0.0 199.86666666666667 100
H 1412.318947748 69.0 0.0 170.3988443955327 100 100
E 1412.364274120 121.0 0.0 0.0 149.9 100
H 1412.368251254 74.0 0.0 101.41266627187561 100 100
E 1412.413276500 121.0 0.0 0.0 69.95333333333333 69.95333333333333
